Cluster,Layer,Correlation,p_value
Cluster_25,8,-0.031848330756529375,0.49234872493018467
Cluster_25,9,0.0001886357172127912,0.9967561872119876
Cluster_25,10,0.006312639488513251,0.8917793385249506
Cluster_25,11,0.07087306642498674,0.12616554804793034
Cluster_25,12,-0.11840108190422288,0.010442381834180454
Cluster_26,0,-0.12743221662215154,0.1672525982126852
Cluster_26,1,-0.09078495012290085,0.3261378130456506
Cluster_26,2,-0.09032561302822505,0.32860167272089746
Cluster_26,3,-0.06750830990665505,0.4657030483893313
Cluster_26,4,-0.1594754299166285,0.08319983119914821
Cluster_26,5,-0.17592966801350352,0.05563749950125563
Cluster_26,6,-0.26806770415172837,0.0032030002751990074
Cluster_26,7,-0.29434249811771857,0.0011568919318148034
Cluster_26,8,-0.2433418375980171,0.007659155304554207
Cluster_26,9,-0.07576925610547565,0.4127871167371585
Cluster_26,10,-0.062473405628580767,0.4996944077152151
Cluster_26,11,-0.07490399320620263,0.4181588933120691
Cluster_26,12,-0.009343415011079848,0.9196687633943136
Cluster_27,0,-0.06793338872232056,0.5153187618915482
Cluster_27,1,-0.14954304085539863,0.15027031481124922
Cluster_27,2,-0.18316656431745115,0.07721362858973617
Cluster_27,3,-0.23915760575082182,0.020260328411376562
Cluster_27,4,-0.24424375970812412,0.017673103541210294
