Cluster,Layer,Correlation,p_value
Cluster_22,8,-0.047156240658379645,0.13736200344422064
Cluster_22,9,-0.02426505777441982,0.4447641793974456
Cluster_22,10,-0.0028504293306026315,0.9284820898956816
Cluster_22,11,0.0016809597660963117,0.957787475637778
Cluster_22,12,0.0018755292385260868,0.9529067916828573
Cluster_23,0,-0.084738216533242,0.3177695455320679
Cluster_23,1,-0.04111905475405625,0.6283005393752918
Cluster_23,2,-0.05702298899781668,0.5018193482061079
Cluster_23,3,-0.03695363671390042,0.6635314047485978
Cluster_23,4,-0.012598998244787876,0.8821226107391192
Cluster_23,5,-0.046320476047776005,0.5854633412916784
Cluster_23,6,0.007264865790487606,0.9318649101793426
Cluster_23,7,0.030211053555374803,0.7221219817376561
Cluster_23,8,0.06306776831199964,0.45750468955610735
Cluster_23,9,0.1211610086048204,0.15237902614533885
Cluster_23,10,0.14364056680508583,0.08926681812670194
Cluster_23,11,0.15069994434693262,0.07446675316966525
Cluster_23,12,-0.09060747463504429,0.2852830925638411
Cluster_24,0,-0.03607748184019371,0.6968829526257931
Cluster_24,1,-0.11465603190428716,0.21436689204372297
Cluster_24,2,-0.14792052414186016,0.10839812244378035
Cluster_24,3,-0.17448369178179748,0.05771094424756048
Cluster_24,4,-0.1673479561316052,0.06889123182532918
Cluster_24,5,-0.13335707164221622,0.14821506196801457
Cluster_24,6,-0.1581612305939325,0.08580490399971262
Cluster_24,7,-0.1638513032331577,0.07497872305086056
Cluster_24,8,-0.035628827802307375,0.7004713080938249
Cluster_24,9,0.026363765845321182,0.7759440574506768
Cluster_24,10,0.0625338270901581,0.49927893043235905
Cluster_24,11,0.05286996154393962,0.567962291007079
Cluster_24,12,-0.11890044153254521,0.19776895333312178
Cluster_25,0,0.21406379771755515,0.1066277813724901
Cluster_25,1,0.11642929650250701,0.3841025408439407
Cluster_25,2,0.18108831400535239,0.1737087092845131
Cluster_25,3,0.18281091390076595,0.1695828388944735
Cluster_25,4,0.04826355778399828,0.7190171427934097
Cluster_25,5,-0.033252330123965675,0.8042907572351109
Cluster_25,6,-0.04180380817619737,0.7553642415093713
Cluster_25,7,0.04826355778399828,0.7190171427934097
Cluster_25,8,0.037497308437663426,0.7798974001241468
Cluster_25,9,-0.08769879110400199,0.5127137700566408
Cluster_25,10,-0.12461164600572153,0.35133927398736253
Cluster_25,11,-0.10916976837183551,0.414639891505728
Cluster_25,12,0.03276015872527608,0.807131488524663
Cluster_26,0,-0.018739928791545322,0.7561720546193962
Cluster_26,1,-0.05824729637103376,0.33411187791580044
Cluster_26,2,-0.055563711015177805,0.3568966518678153
Cluster_26,3,-0.09592420240545907,0.11117076768138728
Cluster_26,4,-0.0797673586135016,0.185602636103792
Cluster_26,5,-0.10091252065056476,0.09369792690557623
Cluster_26,6,-0.07213949449450015,0.23139582217888383
Cluster_26,7,-0.0866273548419152,0.1504478851281821
Cluster_26,8,-0.01830009858068654,0.7617203476034116
Cluster_26,9,0.06525465548139105,0.2791207235469207
Cluster_26,10,0.043858242553657584,0.4672285951451963
Cluster_26,11,0.07243196182341521,0.22950470104768825
Cluster_26,12,-0.16835785805510356,0.004962723107511005
Cluster_27,0,-0.0830006954559173,0.25491113506873236
Cluster_27,1,-0.023441675742585086,0.7481853338166905
Cluster_27,2,-0.01588876204472788,0.8277563995373496
Cluster_27,3,0.031725911637733084,0.6638998879001712
Cluster_27,4,0.03988942688308905,0.5847724509547336
Cluster_27,5,0.09815201179213306,0.17789664321941834
Cluster_27,6,0.08767905802901671,0.22900913592773658
Cluster_27,7,0.10274464520813378,0.15835448068750216
Cluster_27,8,0.1749863314481667,0.015745383284608512
Cluster_27,9,0.11962454128340048,0.10018901705085616
Cluster_27,10,0.16177354380716188,0.025754858109618778
Cluster_27,11,0.0860274595738911,0.23793227725294527
Cluster_27,12,0.009665525069217548,0.8947043124426193
Cluster_28,0,-0.3441874807277212,0.019169731862698727
Cluster_28,1,-0.13364168979340116,0.37592018101263813
